moeder,girl,1517405899275
vera,vera,1517405939504
rustig,angry,1517405952828
kapot,boom,1517406098968
ballen,soccer,1517406151787
ballen,volleyball,1517406159580
failende,chart_with_downwards_trend,1517406245091
fail,chart_with_downwards_trend,1517406252648
nicor,nicor,1517406486107
belinda,belinda,1517406490537
stefaan,stefaan,1517406501976
exception,nicom,1517407349881
space,space_invader,1517407761345
mondje,zipper_mouth_face,1517468349819
huffen,beers,1517468496817
koffie,coffee,1517468692786
nalu,nalu,1517468800497
cola,coke,1517468807563
leo,leotm,1517468815636
doekoe,moneybag,1517468843103
money,money_with_wings,1517468864766
€,euro,1517468882900
$,dollar,1517468893878
yen,yen,1517468902530
euro,euro,1517468921746
eu,flag-eu,1517468930014
rage,rage2,1517470239547
ragede,rage2,1517470265043
fy,middle_finger,1517470303234
mail,email,1517470547181
datum,date,1517470574026
dood,skull,1517470746387
emo,emo,1517470757950
lol,laughing,1517470771596
pizza,pizza,1517470792831
baby,baby_symbol,1517471231742
homo,man-man-boy,1517471267563
soepkes,hotsprings,1517471429565
ricky,ricky,1517471471078
tomho,tomho,1517471489319
maikel,maikel,1517471507319
hoeren,vera,1517471626480
hoeren,belinda,1517471633404
auto,car,1517471659808
nice,flag-fr,1517472038578
island,desert_island,1517472320137
fiets,bike,1517472608218
tomstro,skier,1517474971893
mondje,no_mouth,1517475001019
tomstr,tomstr,1517475098121
tomstr,skier,1517477115398
Jamal,jamal,1517477596936
dick,eggplant,1517477855252
hu,flag-hu,1517478065492
poes,cat2,1517478354994
ganja,herb,1517479414846
suicide,emo,1517486878946
redbull,redbull,1517487030561
plee,toilet,1517489953688
kermis,ferris_wheel,1517491330727
uh ok,thinking_face,1517492200296
prima,ok_hand,1517493548269
vader,boy,1517498307145
kristof,kristof,1517555406696
ninja,ninja,1517555915340
ravago,ravago,1517556552182
homo corpulentus,nicom,1517563251598
pt,flag-pt,1517563506330
rijst,rice,1517563610182
ohm,ohm,1517564159368
sneeuw,snowman,1517564865232
mad,angry,1517565613441
schneeuw,snowman,1517568054473
disgusting,mask,1517568312123
ik wil dood,emo,1517572962354
luger,gun,1517815269456
bank,bank,1517815780397
eieren,egg,1517815885966
gemoderereerd,cop,1517818295151
sleep,sleeping,1517818411999
eije,egg,1517818709334
fml,emo,1517820087149
voeten,footprints,1517822178497
bitch,girl,1517822219286
bitch,vera,1517822234046
fruitsla,pear,1517840586111
fruitsla,apple,1517840598007
fruitsla,green_apple,1517840605153
fruitsla,pineapple,1517840612225
fruitsla,banana,1517840618884
java,java,1517841840254
js,javascript,1517841862906
bewire,bewire,1517902073171
marginaal,nicom,1517904458953
doekoes,euro,1517908776025
geflame,fire,1517910845584
ei,egg,1517911313755
1699,nicom,1517911457010
1699,leotm,1517911484974
1699,rage2,1517911506841
1699,timer_clock,1517911523040
1699,chart_with_downwards_trend,1517911536442
1699,ambulance,1517911555013
eveline,eveline,1517919964873
hoeren,eveline,1517919974412
specialist,noteveline,1517920240403
fleetspecialist,noteveline,1517920540039
huis,house,1517924180977
dollar,dollar,1518074316980
flame,fire,1518085052922
eike,egg,1518087607308
bait,fishing_pole_and_fish,1518098596135
disgusting,face_vomiting,1518099478720
kurt,pride,1518163528411
dood,gun,1518514893386
popcorn,popcorn,1518533148738
be,flag-be,1518773737671
ca,flag-ca,1518773756885
at,flag-at,1518773767708
duitsland,flag-de,1518775028718
oi,flag-ie,1518775665452
beta,beta,1519028850599
niet gelachen,sunglasses,1519032065851
egypte,flag-eg,1519034657158
cyprus,flag-cy,1519034755928
taxi,taxi,1519036386334
praag,flag-cz,1519037798714
linkedin,linkedin,1521186371800
bot,robot_face,1521186376494
tinder,fire,1521186379827
